"Section","Sub Section","Report Title","URL","Display Order"
"Division Reports","2017 Reports to Council","2017-11-13:  UAW-Ford National Programs Center proposed sign at 151 W. Jefferson","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/UAW Ford 151 W Jefferson Sign.pdf","570"
"Division Reports","2017 Reports to Council","2017-11-09:  CBO report for Hudson's Block Redevelopment Project","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/LPD Detroit Hudsons Block CBO Report1 .pdf","571"
"Division Reports","2017 Reports to Council","2017-11-08:  Gaming Tax Revenue through September 2017","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/Gaming Tax Revenue thru Sept 2017.pdf","572"
"Division Reports","2017 Reports to Council","2017-11-08:  CBO process analysis for the Bedrock, LLC Monroe Block & Book Tower","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/CBO PROCESS FOR BEDROCK_ MONROE AND BOOK TOWER.pdf","573"
"Division Reports","2017 Reports to Council","2017-11-08:  Transformational Brownfield Plan Supplemental Report 2","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/Trans Brownfield Sup Rpt 2.pdf","574"
"Division Reports","2017 Reports to Council","2017-11-07:  Transformational Brownfield Plan Supplemental Report.","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/Hudsons-Monroe-Campus Martius Redevelop Proj.pdf","575"
"Division Reports","2017 Reports to Council","2017-11-01:  Arte Express, LLC Application for an OPRC Public Act 146 of 2000","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/Arte Express PA 146.pdf","576"
"Division Reports","2017 Reports to Council","2017-11-01:  Proposed Rules and Procedures for Forfeiture of Elective City Office","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/Forfeiture of Elective City Office.pdf","577"
"Division Reports","2017 Reports to Council","2017-11-01:  City Council Appointments to Boards and Commissions","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/Boards ans Commissions 11-17.pdf","578"
"Division Reports","2017 Reports to Council","2017-10-30:  Transformational Brownfield Plan for Hudson's Block/Monroe Block, etc.","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/CC-Trans Brownfield Plan Hudsons.pdf","579"
"Division Reports","2017 Reports to Council","2017-10-27:  City Bidding Process","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/City Bidding Process Report.pdf","580"
"Division Reports","2017 Reports to Council","2017-10-27:  Costs associated with adoption of proposed fugitive dust ordinance","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/Costs assoc. with adoption of proposed fugitive dust ordinance.pdf","581"
"Division Reports","2017 Reports to Council","2017-10-26:  The proposal of the International ArtsGames Committee","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/City Planning Commission/DEC ArtsGames Rec to CC2.pdf","582"
"Division Reports","2017 Reports to Council","2017-10-24:  Rosko Development Co, LLC - Hudson's Application for NEZ","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/Rosko Develop Co LLC - Hudsons NEZ.pdf","583"
"Division Reports","2017 Reports to Council","2017-10-24:  Innovative Acquisitions, LLC application for NEZ","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/Innovative Acquisitions LLC NEZ.pdf","584"
"Division Reports","2017 Reports to Council","2017-10-24:  Tiger Stadium Partners, LLC Commercial Rehab Exemption Certificate","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/Tiger Stadium Partners LLC.pdf","585"
"Division Reports","2017 Reports to Council","2017-10-24:  Rosko Development Co., LLC - Monroe application for NEZ","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/Rosko Develop LLC NEZ.pdf","586"
"Division Reports","2017 Reports to Council","2017-10-24:  Detroit Lofts Solutions, LLC application for Neighborhood Enterprise Zone","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/Detroit Lofts Solutions LLC NEZ.pdf","587"
"Division Reports","2017 Reports to Council","2017-10-24:  DDOT Land Swap Agreement","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/DDOT Land Swap Agmt.pdf","588"
"Division Reports","2017 Reports to Council","2017-10-18:  Resolution Authorizing Issuance of MI Transportation Fund Bonds","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/MI Trans Bond 124.5M.pdf","589"
"Division Reports","2017 Reports to Council","2017-10-17:  Resolution in Support of the Amazon Project","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/Amazon Project Support Reso Final.pdf","590"
"Division Reports","2017 Reports to Council","2017-10-13:  Opinion re Establishing Uniformity in Awarding Demolition Contracts","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/Uniformity Awarding Demo Contracts.pdf","591"
"Division Reports","2017 Reports to Council","2017-10-13:  Medical Marihuana Ballot Initiatives","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/Med Marihunan Ballot Initiatives.pdf","592"
"Division Reports","2017 Reports to Council","2017-10-13:  Report on Gaming Tax Revenue through August 2017","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/Gaming Tax Revenue thru August 2017.pdf","593"
"Division Reports","2017 Reports to Council","2017-10-11:  Charlotte Innovation Center, LLC Obsolete Property Rehab. Certificate","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/City Planning Commission/Charlotte Innovation Center_ LLC app for OPRA.pdf","594"
"Division Reports","2017 Reports to Council","2017-10-11: Industrical Facilities Exemption Certificate for 634 Selden, LLC","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/City Planning Commission/IFE for 634 SELDEN_ LLC .pdf","595"
"Division Reports","2017 Reports to Council","2017-10-05:  Little Caesar's Arena Rezoning Request","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/Report and Reso extending LCA PD ModRezoning.pdf","596"
"Division Reports","2017 Reports to Council","2017-10-05:  Report on Gaming Tax Revenue through July 2017","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/Gaming Tax Revenue thru July 2017.pdf","597"
"Division Reports","2017 Reports to Council","2017-10-05:  220 West Congress Brownfield Redevelopment Plan Corrected Copy","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/220 West Congress Brownfield 2nd CORRECTED COPY.pdf","598"
"Division Reports","2017 Reports to Council","2017-10-04:  751 Griswold Brownfield Redevelopment Plan","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/751 Griswold Brownfield.pdf","599"
"Division Reports","2017 Reports to Council","2017-10-04:  220 West Congress Detroit, LLC Obsolete Property Rehab Certificate","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/220 W Congress Detroit LLC Obsolete.pdf","600"
"Division Reports","2017 Reports to Council","2017-10-02:  220 W. Congress Brownfield Redevelopment Plan","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/220 West Congress Brownfield.pdf","601"
"Division Reports","2017 Reports to Council","2017-09-28:  Detroit International Bridge Petition #1266","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/Detroit International Bridge Company_ regarding two vacations .pdf","602"
"Division Reports","2017 Reports to Council","2017-09-27:  Bedrock Detroit LLC NEZ Application at 1150 Griswold","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/Bedrock Detroit LLC NEZ at 1150 Griswold.pdf","603"
"Division Reports","2017 Reports to Council","2017-09-27:  Pyramid Development Co LLC NEZ Application at 321 W. Lafayette","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/Pyramid Development Co LLC NEZ at 321 W Lafayette.pdf","604"
"Division Reports","2017 Reports to Council","2017-09-26:  Concerns Raised by Prohibited Items - 36th District Court","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/36th District Court Concerns.pdf","605"
"Division Reports","2017 Reports to Council","2017-09-23:  Community Benefits Ord. Report for former Detroit Free Press Building","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/CBO Former Free Press.pdf","606"
"Division Reports","2017 Reports to Council","2017-09-21:  Resolution in support of the Safe Routes to School Program","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/Safe Routes to Schools Reso.pdf","607"
"Division Reports","2017 Reports to Council","2017-09-21:  7.Liv Brownfield Redevelopment Plan","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/7.Liv Brownfield.pdf","608"
"Division Reports","2017 Reports to Council","2017-09-13:  Amendments to Council Rules to Address Reconsideration of a Vote","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/Council Rules to Address Reconsideration.pdf","609"
"Division Reports","2017 Reports to Council","2017-09-13:  Reso to Support Food Policy rec by the Detroit Food Policy Council","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/Reso Supporting Food Policy Rec.pdf","610"
"Division Reports","2017 Reports to Council","2017-09-12:  Draft Resolution Supporting HB 4617","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/Reso Supporting HB 4617.pdf","611"
"Division Reports","2017 Reports to Council","2017-09-11:  Secondary Street Name Sign for Eugene Slappy","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/SSN - Eugene Slappy.pdf","612"
"Division Reports","2017 Reports to Council","2017-09-08:  Corktown Ash, LLC Obsolete Property Rehabilitation Certificate","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/Corktown Ash LLC.pdf","613"
"Division Reports","2017 Reports to Council","2017-09-08:  Fifth Generational Text Amendment and Ordinance Approved by Law","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/City Planning Commission/5GTA Summary and Ordinance_Approved by Law.pdf","614"
"Division Reports","2017 Reports to Council","2017-09-05:  Reso to require MI State Police to abide by Local Pursuit Policies","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/Reso Local Pursuit Policies.pdf","615"
"Division Reports","2017 Reports to Council","2017-08-31:  Reso to Promote Sensitivity Training for Michigan Police Officers","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/Reso on Sensitivity Training.pdf","616"
"Division Reports","2017 Reports to Council","2017-08-31:  NEZ Applications for ninety-four (94) units in Harbortown NEZ area","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/NEZ Harbortown 94 units.pdf","617"
"Division Reports","2017 Reports to Council","2017-08-30:  2018-19 Community Development Block Grant Threshold Criteria","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/CDBG CRITERIA.pdf","618"
"Division Reports","2017 Reports to Council","2017-08-29:  Certification of Abandoned Property for Accelerated Forfeiture Act","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/Certification of Abandoned Property for Accelerated Forfeiture.pdf","619"
"Division Reports","2017 Reports to Council","2017-08-29:  Resolution in Support of Senate Bill 110","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/Senate Bill 110.pdf","620"
"Division Reports","2017 Reports to Council","2017-08-28:  Fire Advisory Commission","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/FIRE ADVISORY COMMISSION.pdf","621"
"Division Reports","2017 Reports to Council","2017-08-28:  Vendor Fee Survey","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/Vendor Fee Survey.pdf","622"
"Division Reports","2017 Reports to Council","2017-08-28:  Reso in support of DPD participation in the ICITAP Bangladesh Program","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/RESO in support of DPD participating in ICITAP.pdf","623"
"Division Reports","2017 Reports to Council","2017-08-28:  The Elestine, LLC Application for Obsolete Property Rehab Certificate","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/The Elestine LLC OPRC.pdf","624"
"Division Reports","2017 Reports to Council","2017-08-28:  Microsoft Corporation Application for a New Personal Property Exemption","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/Microsoft Corp Personal Property Exemption.pdf","625"
"Division Reports","2017 Reports to Council","2017-08-21:  Gaming Tax Revenue through June 2017","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/Gaming Tax Revenue thru June 2017.pdf","626"
"Division Reports","2017 Reports to Council","2017-08-14:  NEZ - Two (2) units of new housing in the Morgan Estates NEZ area","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/NEZ - Morgan Estates.pdf","627"
"Division Reports","2017 Reports to Council","2017-08-11:  Priorities and Threshold Criteria for the 2018-19 CDBG/NOF Program","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/CDBG-NOF 2018-19.pdf","628"
"Division Reports","2017 Reports to Council","2017-08-10:  Review of Public Act 46 of 2017 (Transformational Brownfield Plan)","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/Transformational Brownfield Plan.pdf","629"
"Division Reports","2017 Reports to Council","2017-08-10:  Exploring the Restoration of Pension Cuts","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/Restoration of Pension Cuts.pdf","630"
"Division Reports","2017 Reports to Council","2017-07-28:  Banners hung without approval","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/Banners.pdf","631"
"Division Reports","2017 Reports to Council","2017-07-28:  Benchmark Comparison of the City of Detroit's 2016 CAFR","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/Benchmark Comparison of 2016 CAFR.pdf","632"
"Division Reports","2017 Reports to Council","2017-07-27:  US Ecology Host Community Agreement","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/US Ecology Comm Host Agmt.pdf","633"
"Division Reports","2017 Reports to Council","2017-07-19:  Review of the Affordable Housing Agreement with Bedrock","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/Affordable Housing Bedrock.pdf","634"
"Division Reports","2017 Reports to Council","2017-07-19:  Reso to exercise right of first refusal on occupied homes","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/RESO TO EXERCISE RGT OF FIRST REFUSAL ON OCCUPIED HOMES AND REPROGRAM HHF.pdf","635"
"Division Reports","2017 Reports to Council","2017-07-19:  DETRE1, LLC Obsolete Property Rehabilitation Certificate","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/DETRE 1 LLC.pdf","636"
"Division Reports","2017 Reports to Council","2017-07-19:  Lear Corporation Commercial Rehabilitation Exemption Certificate","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/Lear Corp.pdf","637"
"Division Reports","2017 Reports to Council","2017-07-19:  Holden Block, LLC Obsolete Property Rehabilitation Certificate","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/Holden Block LLC.pdf","638"
"Division Reports","2017 Reports to Council","2017-07-19:  Trenton Properties, LLC Obsolete Property Rehabilitation Certificate","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/Trenton Properties LLC.pdf","639"
"Division Reports","2017 Reports to Council","2017-07-19:  Senate Bill 469 - Tax Credits for Historic Properties","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/Senate Bill 469 - Tax Credits for Historic Properties.pdf","640"
"Division Reports","2017 Reports to Council","2017-07-17:  HB 4160 - Charitable Solicitation in Roadways","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/HB 4160 - Charitable Solicitation in Roadways.pdf","641"
"Division Reports","2017 Reports to Council","2017-07-17:  Trump Administration Proposed Changes to the U.S. Tax Code","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/Tax Code Changes.pdf","642"
"Division Reports","2017 Reports to Council","2017-07-14:  Proposed Changes to City of Detroit Building Code","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/Building Code Changes.pdf","643"
"Division Reports","2017 Reports to Council","2017-07-14:  Reso Urging the Administration to Issue Executive Order","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/reso urging the Administration to issue Executive Order.pdf","644"
"Division Reports","2017 Reports to Council","2017-07-12:  Former Free Press Building Brownfield Redevelopment Plan","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/Free Press Brownfield.pdf","645"
"Division Reports","2017 Reports to Council","2017-07-12:  Commercial Rehab Exemption Certificate East Grand Enterprises, LLC","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/East Grand Enterprises LLC.pdf","646"
"Division Reports","2017 Reports to Council","2017-07-10:  Special District Review for Coleman A. Young Municipal Center","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/City Planning Commission/Special District Review CAYMC.pdf","647"
"Division Reports","2017 Reports to Council","2017-07-10:  Coe Van Dyke, LLC rezoning request on behalf of Clifford A. Brown","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/City Planning Commission/COE West Village.pdf","648"
"Division Reports","2017 Reports to Council","2017-07-07:  Land Sales Agreements for Gordie Howe International Bridge","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/Gordie Howe Internat Bridge Land Sale Agreement.pdf","649"
"Division Reports","2017 Reports to Council","2017-07-07:  Review of 2016 Comprehensive Annual Financial Report (CAFR)","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/Review of the 2016 CAFR.pdf","650"
"Division Reports","2017 Reports to Council","2017-07-07:  Detroit Fees and Other Revenues","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/Detroit Fees and Other Revenues.pdf","651"
"Division Reports","2017 Reports to Council","2017-07-06:  Michigan Medical Marihuana Legislation","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/2MI Medical Marihuana Legislation.pdf","652"
"Division Reports","2017 Reports to Council","2017-07-06:  Petition Certification Reports re Medical Marihuana Ballott Initiatives","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/petition certification report  for medical marihuana ballot initiatives.pdf","653"
"Division Reports","2017 Reports to Council","2017-07-06:  ArcelorMittal Industrial Facilities Exemption Certificate Request","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/ArcelorMittal IFEC.pdf","654"
"Division Reports","2017 Reports to Council","2017-06-23:  PCA Special District Review - 630 Woodward Avenue","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/City Planning Commission/Special District Review - 630 Woodward.pdf","655"
"Division Reports","2017 Reports to Council","2017-06-27:  Gaming Tax Revenue through May 2017","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/Gaming Tax Revenue thru May.pdf","656"
"Division Reports","2017 Reports to Council","2017-06-23:  Master Plan of Policies Change #14 (small & large scale agricultural uses)","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/City Planning Commission/MPP Small Scale-Large Scale Agricultural.pdf","657"
"Division Reports","2017 Reports to Council","2017-06-21:  40 Davenport LLC (6513 Woodward) Tax Abatement Request","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/40 Davenport LLC Obsolete Property Rehab Certificate.pdf","658"
"Division Reports","2017 Reports to Council","2017-06-19:  Detroit Data Project","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/Detroit Data Project.pdf","659"
"Division Reports","2017 Reports to Council","2017-06-16:  Brush Park City Modern NEZ Certificate Applications","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/City Planning Commission/Brush Park City Modern NEZ Certificate Requests.pdf","660"
"Division Reports","2017 Reports to Council","2017-06-16:  Reso designating June 29, 2017 at ""Big Sean Day""","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/Big Sean Day.pdf","661"
"Division Reports","2017 Reports to Council","2017-06-16:  Status of Detroit International Bridge Company's Coast Guard Permit","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/Coast Guard Permit.pdf","662"
"Division Reports","2017 Reports to Council","2017-06-13:  Former Herman Kiefer Complex Brownfield Redevelopment Plan","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/Herman Kiefer Brownfield.pdf","663"
"Division Reports","2017 Reports to Council","2017-06-09:  House Bill 4619","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/HB 4619 - English Proficiency.pdf","664"
"Division Reports","2017 Reports to Council","2017-06-09:  DDA-Olympia Development of MI request to amend existing PD","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/DDA-ODM Henry-Clifford-Cass.pdf","665"
"Division Reports","2017 Reports to Council","2017-06-08:  Proposal to Establish City of Detroit Retiree Fund","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/OCFO Proposal to est. the COD Retiree PROTECTION TRUST FUND.pdf","666"
"Division Reports","2017 Reports to Council","2017-06-07:  American Community Developers, Inc NEZ request","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/American Community Developers NEZ.pdf","667"
"Division Reports","2017 Reports to Council","2017-06-02:  Master Plan of Policies Amendment E. Canfield/Dequindre/Riopelle","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/City Planning Commission/Master Plan Canfield- Deq-Riopelle.pdf","668"
"Division Reports","2017 Reports to Council","2017-05-25:  5G Wireless Technology","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/5G Wireless Tech.pdf","669"
"Division Reports","2017 Reports to Council","2017-05-24:  Draft reso in opposition against State Leg. so-called ""Sanctuary Cities""","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/Sanctuary Cities Reso.pdf","670"
"Division Reports","2017 Reports to Council","2017-05-24:  Draft reso in opposition to State Leg. re carrying Concealed Weapons","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/Concealed Weapons Reso.pdf","671"
"Division Reports","2017 Reports to Council","2017-05-24:  Analysis of Parking Asset Monetization & Parking Fine Rate Reduction","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/Parking Asset Monetization.pdf","672"
"Division Reports","2017 Reports to Council","2017-05-24:  Review of Concealed Weapons Bills (House Bills 4416-19)","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/Concealed Weapons Bills2.pdf","673"
"Division Reports","2017 Reports to Council","2017-05-18:  Pistons Brownfield Redevelopment Plan PA 381 of 1996","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/Pistons Browmfield.pdf","674"
"Division Reports","2017 Reports to Council","2017-05-18:  Pistons Performan, LLC Public Act 210 Certificate Request, et al","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/Pistons Tax Abatement Req.pdf","675"
"Division Reports","2017 Reports to Council","2017-05-16:  CBO Process Analysis for the Detroit Pistons, Palace Sports","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/CBO Process for Pistons-Palace.pdf","676"
"Division Reports","2017 Reports to Council","2017-05-16:  Review of Proposed 2017 DDA Amendments to Restated TIFP","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/Review of DDA Amendments to Restated TIFP.pdf","677"
"Division Reports","2017 Reports to Council","2017-05-09:  Milwaukee Junction Rezoning Supplemental Report","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/City Planning Commission/Milwaukee Junction Supplemental Report CC final_4.pdf","678"
"Division Reports","2017 Reports to Council","2017-05-09:  Use of Portable Basketball Rims","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/Basketball Rims.pdf","679"
"Division Reports","2017 Reports to Council","2017-05-05:  Devon Renewal, LLC site plans and elevations for existing PD - 64 Watson","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/City Planning Commission/64 Watson CPC CC Report_4.pdf","680"
"Division Reports","2017 Reports to Council","2017-05-01:  Report on 9% Property and Payroll Tax Withholding","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/Report on 9 Percent Property and Payroll Tax Withholding.pdf","681"
"Division Reports","2017 Reports to Council","2017-04-48:  Brush Park City Modern Land Swap","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/Brush Park City Modern Land Swap-5-1.pdf","682"
"Division Reports","2017 Reports to Council","2017-04-28:  Gaming Tax Revenue through March 2017","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/Gaming Tax Revenue thru March 2017.pdf","683"
"Division Reports","2017 Reports to Council","2017-04-27:  Wolverine Packing Co. PD Modification Request","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/Wolverine Packing Forest Park-CC REPORT 5-1.pdf","684"
"Division Reports","2017 Reports to Council","2017-04-18:  City Council authority over DWSD budget and rates","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/CC Authority over DWSD Budget-Rates.pdf","685"
"Division Reports","2017 Reports to Council","2017-04-17:  Reso in Support of Establishing the  Youth & Young Adult Taskforce","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/corrected reso -YOUTH AND YOUNG ADULT TASKFORCE.pdf","686"
"Division Reports","2017 Reports to Council","2017-04-17:  Proposed Charter Amendment -- Article 7, Chapter 12","https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/legislative-policy-reports/2017/Charter Amendment BOWC.pdf","687"
